2026-01-03 11:55:07 | ERROR    | trading_bot | Error calculating size: RiskManager.calculate_position_size() takes 3 positional arguments but 4 were given
2026-01-03 11:55:07 | ERROR    | trading_bot | Order Execution Failed: 'PaperTradingExecutor' object has no attribute 'place_order'
2026-01-03 11:55:09 | ERROR    | trading_bot | Error calculating size: RiskManager.calculate_position_size() takes 3 positional arguments but 4 were given
2026-01-03 11:55:09 | ERROR    | trading_bot | Order Execution Failed: 'PaperTradingExecutor' object has no attribute 'place_order'
2026-01-03 11:55:11 | ERROR    | trading_bot | Error calculating size: RiskManager.calculate_position_size() takes 3 positional arguments but 4 were given
2026-01-03 11:55:11 | ERROR    | trading_bot | Order Execution Failed: 'PaperTradingExecutor' object has no attribute 'place_order'
2026-01-03 11:55:31 | ERROR    | trading_bot | Error calculating size: RiskManager.calculate_position_size() takes 3 positional arguments but 4 were given
2026-01-03 11:55:31 | ERROR    | trading_bot | Order Execution Failed: 'PaperTradingExecutor' object has no attribute 'place_order'
2026-01-03 11:55:33 | ERROR    | trading_bot | Error calculating size: RiskManager.calculate_position_size() takes 3 positional arguments but 4 were given
2026-01-03 11:55:33 | ERROR    | trading_bot | Order Execution Failed: 'PaperTradingExecutor' object has no attribute 'place_order'
2026-01-03 11:55:35 | ERROR    | trading_bot | Error calculating size: RiskManager.calculate_position_size() takes 3 positional arguments but 4 were given
2026-01-03 11:55:35 | ERROR    | trading_bot | Order Execution Failed: 'PaperTradingExecutor' object has no attribute 'place_order'
2026-01-03 11:56:44 | ERROR    | trading_bot | Error calculating size: RiskManager.calculate_position_size() takes 3 positional arguments but 4 were given
2026-01-03 11:56:44 | ERROR    | trading_bot | Order Execution Failed: 'PaperTradingExecutor' object has no attribute 'place_order'
2026-01-03 11:56:44 | ERROR    | trading_bot | Error calculating size: RiskManager.calculate_position_size() takes 3 positional arguments but 4 were given
2026-01-03 11:56:44 | ERROR    | trading_bot | Order Execution Failed: 'PaperTradingExecutor' object has no attribute 'place_order'
2026-01-03 11:56:45 | ERROR    | trading_bot | Error calculating size: RiskManager.calculate_position_size() takes 3 positional arguments but 4 were given
2026-01-03 11:56:45 | ERROR    | trading_bot | Order Execution Failed: 'PaperTradingExecutor' object has no attribute 'place_order'
2026-01-03 11:56:55 | ERROR    | trading_bot | Error calculating size: RiskManager.calculate_position_size() takes 3 positional arguments but 4 were given
2026-01-03 11:56:55 | ERROR    | trading_bot | Order Execution Failed: 'PaperTradingExecutor' object has no attribute 'place_order'
2026-01-03 11:56:56 | ERROR    | trading_bot | Error calculating size: RiskManager.calculate_position_size() takes 3 positional arguments but 4 were given
2026-01-03 11:56:56 | ERROR    | trading_bot | Order Execution Failed: 'PaperTradingExecutor' object has no attribute 'place_order'
2026-01-03 11:56:58 | ERROR    | trading_bot | Error calculating size: RiskManager.calculate_position_size() takes 3 positional arguments but 4 were given
2026-01-03 11:56:58 | ERROR    | trading_bot | Order Execution Failed: 'PaperTradingExecutor' object has no attribute 'place_order'
2026-01-03 11:58:29 | ERROR    | trading_bot | Error calculating size: RiskManager.calculate_position_size() takes 3 positional arguments but 4 were given
2026-01-03 11:58:29 | ERROR    | trading_bot | Order Execution Failed: 'PaperTradingExecutor' object has no attribute 'place_order'
2026-01-03 11:58:30 | ERROR    | trading_bot | Error calculating size: RiskManager.calculate_position_size() takes 3 positional arguments but 4 were given
2026-01-03 11:58:30 | ERROR    | trading_bot | Order Execution Failed: 'PaperTradingExecutor' object has no attribute 'place_order'
2026-01-03 11:58:30 | ERROR    | trading_bot | Error calculating size: RiskManager.calculate_position_size() takes 3 positional arguments but 4 were given
2026-01-03 11:58:30 | ERROR    | trading_bot | Order Execution Failed: 'PaperTradingExecutor' object has no attribute 'place_order'
2026-01-03 11:58:43 | ERROR    | trading_bot | Error calculating size: RiskManager.calculate_position_size() takes 3 positional arguments but 4 were given
2026-01-03 11:58:43 | ERROR    | trading_bot | Order Execution Failed: 'PaperTradingExecutor' object has no attribute 'place_order'
2026-01-03 11:58:43 | ERROR    | trading_bot | Error calculating size: RiskManager.calculate_position_size() takes 3 positional arguments but 4 were given
2026-01-03 11:58:43 | ERROR    | trading_bot | Order Execution Failed: 'PaperTradingExecutor' object has no attribute 'place_order'
2026-01-03 11:58:43 | ERROR    | trading_bot | Error calculating size: RiskManager.calculate_position_size() takes 3 positional arguments but 4 were given
2026-01-03 11:58:43 | ERROR    | trading_bot | Order Execution Failed: 'PaperTradingExecutor' object has no attribute 'place_order'
2026-01-03 11:59:39 | ERROR    | trading_bot | Error calculating size: RiskManager.calculate_position_size() takes 3 positional arguments but 4 were given
2026-01-03 11:59:39 | ERROR    | trading_bot | Order Execution Failed: 'PaperTradingExecutor' object has no attribute 'place_order'
2026-01-03 11:59:40 | ERROR    | trading_bot | Error calculating size: RiskManager.calculate_position_size() takes 3 positional arguments but 4 were given
2026-01-03 11:59:40 | ERROR    | trading_bot | Order Execution Failed: 'PaperTradingExecutor' object has no attribute 'place_order'
2026-01-03 11:59:40 | ERROR    | trading_bot | Error calculating size: RiskManager.calculate_position_size() takes 3 positional arguments but 4 were given
2026-01-03 11:59:40 | ERROR    | trading_bot | Order Execution Failed: 'PaperTradingExecutor' object has no attribute 'place_order'
2026-01-03 12:01:04 | ERROR    | trading_bot | Error calculating size: RiskManager.calculate_position_size() takes 3 positional arguments but 4 were given
2026-01-03 12:01:04 | ERROR    | trading_bot | Order Execution Failed: 'PaperTradingExecutor' object has no attribute 'place_order'
