Date,Open,High,Low,Close,Volume
2025-12-26 22:49:00,156.519,156.519,156.504,156.506,15
2025-12-26 22:50:00,156.505,156.516,156.497,156.497,43
2025-12-26 22:51:00,156.497,156.497,156.484,156.488,47
2025-12-26 22:52:00,156.487,156.502,156.48,156.501,63
2025-12-26 22:53:00,156.5,156.502,156.491,156.502,62
2025-12-26 22:54:00,156.5,156.512,156.497,156.508,122
2025-12-26 22:55:00,156.506,156.512,156.503,156.512,128
2025-12-26 22:56:00,156.512,156.518,156.501,156.504,103
2025-12-26 22:57:00,156.505,156.506,156.486,156.487,83
2025-12-26 22:58:00,156.487,156.504,156.486,156.497,68
2025-12-26 22:59:00,156.497,156.501,156.491,156.494,129
2025-12-26 23:00:00,156.496,156.527,156.493,156.493,86
2025-12-26 23:01:00,156.494,156.501,156.492,156.498,48
2025-12-26 23:02:00,156.499,156.5,156.494,156.497,34
2025-12-26 23:03:00,156.497,156.5,156.497,156.5,16
2025-12-26 23:04:00,156.499,156.518,156.499,156.515,25
2025-12-26 23:05:00,156.515,156.527,156.515,156.525,32
2025-12-26 23:06:00,156.525,156.527,156.518,156.525,81
2025-12-26 23:07:00,156.525,156.537,156.518,156.535,69
2025-12-26 23:08:00,156.538,156.54,156.535,156.539,55
2025-12-26 23:09:00,156.535,156.538,156.531,156.535,78
2025-12-26 23:10:00,156.537,156.541,156.534,156.535,88
2025-12-26 23:11:00,156.536,156.543,156.536,156.536,62
2025-12-26 23:12:00,156.536,156.536,156.525,156.536,162
2025-12-26 23:13:00,156.534,156.536,156.525,156.526,118
2025-12-26 23:14:00,156.526,156.533,156.522,156.528,54
2025-12-26 23:15:00,156.528,156.528,156.524,156.524,37
2025-12-26 23:16:00,156.524,156.537,156.524,156.537,97
2025-12-26 23:17:00,156.537,156.539,156.528,156.532,82
2025-12-26 23:18:00,156.533,156.536,156.528,156.536,71
2025-12-26 23:19:00,156.536,156.539,156.531,156.531,24
2025-12-26 23:20:00,156.532,156.541,156.531,156.541,33
2025-12-26 23:21:00,156.541,156.551,156.54,156.549,16
2025-12-26 23:22:00,156.549,156.551,156.531,156.535,45
2025-12-26 23:23:00,156.535,156.544,156.535,156.537,43
2025-12-26 23:24:00,156.537,156.541,156.537,156.54,31
2025-12-26 23:25:00,156.539,156.546,156.539,156.545,27
2025-12-26 23:26:00,156.545,156.546,156.539,156.546,25
2025-12-26 23:27:00,156.546,156.547,156.536,156.54,14
2025-12-26 23:28:00,156.54,156.544,156.527,156.538,56
2025-12-26 23:29:00,156.538,156.549,156.529,156.549,45
2025-12-26 23:30:00,156.548,156.564,156.544,156.563,38
2025-12-26 23:31:00,156.563,156.576,156.563,156.564,31
2025-12-26 23:32:00,156.564,156.564,156.547,156.563,43
2025-12-26 23:33:00,156.559,156.566,156.547,156.549,25
2025-12-26 23:34:00,156.549,156.558,156.548,156.551,80
2025-12-26 23:35:00,156.551,156.575,156.551,156.574,33
2025-12-26 23:36:00,156.574,156.576,156.561,156.562,23
2025-12-26 23:37:00,156.562,156.564,156.551,156.564,60
2025-12-26 23:38:00,156.56,156.576,156.554,156.576,42
2025-12-26 23:39:00,156.576,156.576,156.563,156.563,31
2025-12-26 23:40:00,156.563,156.586,156.554,156.586,64
2025-12-26 23:41:00,156.586,156.59,156.582,156.585,56
2025-12-26 23:42:00,156.585,156.592,156.58,156.581,93
2025-12-26 23:43:00,156.582,156.582,156.569,156.578,66
2025-12-26 23:44:00,156.578,156.581,156.559,156.56,79
2025-12-26 23:45:00,156.559,156.56,156.528,156.533,196
2025-12-26 23:46:00,156.532,156.551,156.531,156.546,106
2025-12-26 23:47:00,156.546,156.566,156.544,156.547,118
2025-12-26 23:48:00,156.549,156.56,156.549,156.558,115
2025-12-26 23:49:00,156.557,156.581,156.557,156.573,134
2025-12-26 23:50:00,156.573,156.603,156.573,156.602,88
2025-12-26 23:51:00,156.602,156.602,156.593,156.597,181
2025-12-26 23:52:00,156.596,156.604,156.587,156.588,161
2025-12-26 23:53:00,156.588,156.599,156.585,156.585,311
2025-12-26 23:54:00,156.585,156.603,156.585,156.592,150
